Sala dos professores,JESSICA-5G,-62 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-62 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-70 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-88 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-72 dBm,38:6b:1c:bc:16:4d
Sala dos professores,Simba-2.4G,-61 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-74 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-59 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA-5G,-62 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-62 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-70 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-88 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-72 dBm,38:6b:1c:bc:16:4d
Sala dos professores,Simba-2.4G,-61 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-74 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-59 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA-5G,-62 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-62 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-70 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-51 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-88 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-72 dBm,38:6b:1c:bc:16:4d
Sala dos professores,Simba-2.4G,-59 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-71 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-63 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA-5G,-73 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-73 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-80 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-50 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-81 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-70 dBm,38:6b:1c:bc:16:4d
Sala dos professores,Simba-2.4G,-59 dBm,58:d0:61:3a:ee:c8
Sala dos professores,LLM_H0A9_059530,-71 dBm,c8:47:8c:4b:b4:fc
Sala dos professores,_Simba-5G,-63 dBm,38:6b:1c:bc:16:4f
Sala dos professores,JESSICA-5G,-73 dBm,78:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-73 dBm,66:e9:cf:7f:ec:7e
Sala dos professores,JESSICA 2.4,-80 dBm,78:e9:cf:7f:ec:7f
Sala dos professores,Simba-5G,-50 dBm,58:d0:61:3a:ee:cc
Sala dos professores,Felipe porto,-81 dBm,68:d4:0c:f3:af:ff
Sala dos professores,_Simba-2.4G,-70 dBm,38:6b:1c:bc:16:4d
Sala dos ETs,Simba-2.4G,-52 dBm,58:d0:61:3a:ee:c8
Sala dos ETs,LLM_H0A9_059530,-69 dBm,c8:47:8c:4b:b4:fc
